,GM,DAY,DATE,ET,LOCAL,AWAY,HOME,AWAY.TV,DUR,HH.RTG,HH.SHR,HH.IMP,P2..IMP,HOME.TV,DUR.1,HH.RTG.1,HH.SHR.1,HH.IMP.1,P2..IMP.1,NAT.TV,CN.TV
4348,654,Sun,1/26/2014,1:00:00 PM,1:00:00 PM,SAS,MIA,,NA,,NA,NA,NA,,NA,,,,,ABC,
4349,655,Sun,1/26/2014,3:30:00 PM,3:30:00 PM,LAL,NYK,,NA,,NA,NA,NA,,NA,,,,,ABC,
4350,656,Sun,1/26/2014,6:00:00 PM,5:00:00 PM,ORL,NOP,FSFL,150,0.9,1,13,15,FSNO,150,0.88,1.2,5.8,NA,,
4351,657,Sun,1/26/2014,6:00:00 PM,6:00:00 PM,PHX,CLE,FSA,150,1.8,3,34,56,FSO,150,2.5,4,38,47,,
4352,658,Sun,1/26/2014,6:30:00 PM,6:30:00 PM,BRK,BOS,YES,165,0.5,1,36,45,CSN-NE,165,3.4,5,84,105,ESPN,
4353,659,Sun,1/26/2014,7:30:00 PM,6:30:00 PM,DET,DAL,FSD,150,1.5,2,28,47,FSSW-DAL,150,1.8,3,48,69,,
4354,660,Sun,1/26/2014,9:00:00 PM,6:00:00 PM,POR,GSW,CSN-POR,150,5.5,9,65,102,CSN-BA,150,4,7,100,146,,
4355,661,Sun,1/26/2014,9:00:00 PM,6:00:00 PM,DEN,SAC,ASE,165,1.8,3,29,35,KXTV,165,3.2,5,45,62,,
4356,662,Mon,1/27/2014,7:00:00 PM,7:00:00 PM,PHX,PHI,FSA,150,2.6,4,49,60,CSN-P,150,0.5,1,15,18,,
4357,663,Mon,1/27/2014,7:30:00 PM,7:30:00 PM,TOR,BRK,TSN,NA,,NA,NA,NA,YES,150,1.4,2,103,134,,TSN
4358,664,Mon,1/27/2014,8:00:00 PM,7:00:00 PM,MIN,CHI,FSNN-MIN,150,3.7,6,64,84,CSN-C,150,3.6,5,128,168,NBA TV,
4359,665,Mon,1/27/2014,8:00:00 PM,7:00:00 PM,LAC,MIL,FSNP,135,1.1,2,64,98,FSNWI,135,1.2,2,11,NA,,
4360,666,Mon,1/27/2014,8:00:00 PM,7:00:00 PM,ATL,OKC,FSS-ATL,150,1.6,2,37,41,FSOK,150,11.2,16,82,NA,,
4361,667,Mon,1/27/2014,9:00:00 PM,7:00:00 PM,SAC,UTA,CSN-S,165,2.1,3,29,33,ROOT,165,5.5,10,51,NA,,
4362,668,Tue,1/28/2014,7:00:00 PM,7:00:00 PM,NOP,CLE,FSNO,150,1.8,2,12,NA,FSO,150,2.7,4,40,52,,
4363,669,Tue,1/28/2014,7:30:00 PM,7:30:00 PM,ORL,DET,FSFL,150,0.7,1,10,14,FSD+,150,0.9,1,17,33,,
4364,670,Tue,1/28/2014,7:30:00 PM,7:30:00 PM,BOS,NYK,CSN-NE,150,1.6,2,39,48,MSG,150,3,5,223,321,,
4365,671,Tue,1/28/2014,8:00:00 PM,7:00:00 PM,SAS,HOU,FSSW-SA,165,8.6,13,78,NA,CSN-H,165,1.4,2,32,44,NBA TV,
4366,672,Tue,1/28/2014,10:00:00 PM,7:00:00 PM,MEM,POR,SSO-MEM,150,3.2,5,21,NA,CSN-POR,150,4.4,7,52,68,,
4367,673,Tue,1/28/2014,10:30:00 PM,7:30:00 PM,WAS,GSW,CSN-W,150,0.7,2,17,15,CSN-BA,135,4.1,7,103,139,,
4368,674,Tue,1/28/2014,10:30:00 PM,7:30:00 PM,IND,LAL,FSI,135,3.7,8,40,NA,TWC SN/TWC D,135,2.7,4,155,242,,
4369,675,Wed,1/29/2014,7:00:00 PM,7:00:00 PM,OKC,MIA,FSOK,165,2.027272727,3,10.63636364,NA,SunSpM,165,7,11,117,162,ESPN,
4370,676,Wed,1/29/2014,7:00:00 PM,7:00:00 PM,ORL,TOR,FSFL,135,0.4,1,5,6,TSN2,NA,,,,,,TSN2
4371,677,Wed,1/29/2014,7:30:00 PM,7:30:00 PM,DET,ATL,FSD,NA,,NA,NA,NA,FSS-ATL,NA,,,,,,
4372,678,Wed,1/29/2014,7:30:00 PM,7:30:00 PM,PHI,BOS,CSN-P,150,0.8,1,24,28,CSN-NE,150,2.7,4,66,85,,
4373,679,Wed,1/29/2014,8:00:00 PM,7:00:00 PM,PHX,MIL,FSA,150,2.1,3,39,55,FSNWI,150,0.5,1,5,NA,,
4374,680,Wed,1/29/2014,8:00:00 PM,7:00:00 PM,NOP,MIN,FSNO,150,2.42,2.9,15.8,NA,FSNN-MIN,150,2.5,4,44,54,,
4375,681,Wed,1/29/2014,8:30:00 PM,7:30:00 PM,HOU,DAL,CSN-H,180,1,2,23,31,FSSW-DAL,165,2.7,4,71,93,,
4376,682,Wed,1/29/2014,9:00:00 PM,7:00:00 PM,CHA,DEN,SSO-CHA,150,0.69,1.33,7.9,9,ASE,150,2,3,31,38,,
4377,683,Wed,1/29/2014,9:30:00 PM,8:30:00 PM,CHI,SAS,CSN-C,150,1.5,3,55,64,KENS,150,8,13,73,NA,ESPN,
4378,684,Wed,1/29/2014,10:00:00 PM,7:00:00 PM,MEM,SAC,SSO-MEM,150,3.5,5,23,NA,CSN-S,150,2.2,3,30,38,,
4379,685,Wed,1/29/2014,10:30:00 PM,7:30:00 PM,WAS,LAC,CSN-W,150,1,2,23,23,FSNP,150,1.1,2,63,78,,
4380,686,Thu,1/30/2014,7:00:00 PM,7:00:00 PM,PHX,IND,FSA,150,2.6,5,48,71,FSI,150,6.5,10,71,NA,,
4381,687,Thu,1/30/2014,8:00:00 PM,8:00:00 PM,CLE,NYK,,NA,,NA,NA,NA,MSG,165,2.3,4,168,242,TNT,
4382,688,Thu,1/30/2014,10:30:00 PM,7:30:00 PM,LAC,GSW,,NA,,NA,NA,NA,,NA,,,,,TNT,
4383,689,Fri,1/31/2014,7:00:00 PM,7:00:00 PM,MIL,ORL,FSNWI,150,4,1,3,NA,FSFL,150,1.1,2,16,24,,
4384,690,Fri,1/31/2014,7:30:00 PM,7:30:00 PM,ATL,PHI,FSS-ATL,150,1.2,2,29,34,CSN-P,150,0.7,1,22,30,,
4385,691,Fri,1/31/2014,8:00:00 PM,7:00:00 PM,MEM,MIN,SSO-MEM,150,3.3,5,22,NA,FSNN-MIN,135,1.8,3,31,38,,
4386,692,Fri,1/31/2014,8:00:00 PM,8:00:00 PM,OKC,BRK,FSOK,150,8.6,13,63,NA,YES,150,0.7,1,53,83,ESPN,
4387,693,Fri,1/31/2014,8:30:00 PM,7:30:00 PM,SAC,DAL,CSN-S,180,1.5,3,21,23,FSSW-DAL,165,2.1,4,55,83,,
4388,694,Fri,1/31/2014,9:00:00 PM,7:00:00 PM,TOR,DEN,SNET1,NA,,NA,NA,NA,ASE,135,1.7,3,27,42,,SNET1
4389,695,Fri,1/31/2014,10:30:00 PM,7:30:00 PM,CHA,LAL,SSO-CHA,150,0.7,1.5,8,9.1,TWC SN/TWC D,150,2,3,115,179,,
4390,696,Fri,1/31/2014,10:30:00 PM,8:30:00 PM,GSW,UTA,CSN-BA,150,2,4,49,79,ROOT,150,4.2,9,39,NA,ESPN,
4391,697,Sat,2/1/2014,7:00:00 PM,7:00:00 PM,BRK,IND,YES,150,0.9,2,66,112,FSI,165,5.4,9,60,NA,,
4392,698,Sat,2/1/2014,7:00:00 PM,7:00:00 PM,OKC,WAS,FSOK,150,9.2,15,68,NA,CSN-W,150,1.4,3,34,45,,
4393,699,Sat,2/1/2014,7:30:00 PM,7:30:00 PM,MIN,ATL,FSNN-MIN,150,1.5,3,26,29,FSS-ATL,150,1,2,25,26,,
4394,700,Sat,2/1/2014,7:30:00 PM,7:30:00 PM,PHI,DET,CSN-P,150,0.4,1,11,18,FSD,150,1.3,2,23,38,,
4395,701,Sat,2/1/2014,8:00:00 PM,7:00:00 PM,CLE,HOU,FSO,150,1.8,3,27,40,CSN-H,150,1.5,3,34,52,,
4396,702,Sat,2/1/2014,8:00:00 PM,7:00:00 PM,MIL,MEM,FSNWI,150,0.2,NA,2,NA,SSO-MEM,150,3.3,5,22,NA,,
4397,703,Sat,2/1/2014,8:00:00 PM,7:00:00 PM,CHI,NOP,WGN,150,4.4,7,155,196,FSNO,150,1.7,3,11,NA,,
4398,704,Sat,2/1/2014,8:30:00 PM,7:30:00 PM,SAC,SAS,KXTV,150,3.5,6,49,75,KENS,150,10.4,17,94,NA,,
4399,705,Sat,2/1/2014,8:30:00 PM,8:30:00 PM,MIA,NYK,SunSpM,180,7,12,117,162,MSG,165,3.2,5,242,358,ESPN,
4400,706,Sat,2/1/2014,9:00:00 PM,7:00:00 PM,CHA,PHX,SSO-CHA,150,0.51,1,6.1,7,FSA,135,1.9,3,36,53,,
4401,707,Sat,2/1/2014,10:00:00 PM,7:00:00 PM,TOR,POR,SNET1,NA,,NA,NA,NA,CSN-POR,165,5.1,9,60,91,,SNET1
4402,708,Sat,2/1/2014,10:30:00 PM,7:30:00 PM,UTA,LAC,ROOT,150,3.4,7,32,NA,FSNP,150,1.2,2,66,87,,
4403,709,Sun,2/2/2014,1:00:00 PM,1:00:00 PM,ORL,BOS,FSFL,150,0.7,2,11,15,CSN-NE,135,1.7,4,41,57,,
4404,710,Mon,2/3/2014,7:00:00 PM,7:00:00 PM,ORL,IND,FSFL,135,1.1,2,16,17,FSI,135,4.8,7,52,NA,,
4405,711,Mon,2/3/2014,7:00:00 PM,7:00:00 PM,POR,WAS,CSN-POR,135,3,6,36,46,CSN-W,135,1.8,3,44,51,,
4406,712,Mon,2/3/2014,7:30:00 PM,7:30:00 PM,PHI,BRK,CSN-P,165,0.7,1,21,26,YES,165,0.7,1,51,85,,
4407,713,Mon,2/3/2014,7:30:00 PM,7:30:00 PM,DET,MIA,FSD,165,2.3,3,43,56,SunSpM,165,8.5,12,142,191,,
4408,714,Mon,2/3/2014,8:00:00 PM,7:00:00 PM,NYK,MIL,MSG,150,2.7,4,198,261,FSNWI,150,0.6,1,6,NA,,
4409,715,Mon,2/3/2014,8:00:00 PM,7:00:00 PM,SAS,NOP,FSSW-SA,150,6.6,10,60,NA,FSNO,150,1.5,2,10,NA,NBA TV,
4410,716,Mon,2/3/2014,8:00:00 PM,7:00:00 PM,MEM,OKC,,NA,,NA,NA,NA,FSOK,150,11.9,17,87,NA,,
4411,717,Mon,2/3/2014,8:30:00 PM,7:30:00 PM,CLE,DAL,FSO,150,2.2,3,33,41,FSSW-DAL,150,1.8,3,48,62,,
4412,718,Mon,2/3/2014,9:00:00 PM,7:00:00 PM,LAC,DEN,FSNP,165,1.2,2,70,107,ASE,165,1.4,2,22,27,,
4413,719,Mon,2/3/2014,9:00:00 PM,7:00:00 PM,TOR,UTA,TSN,NA,,NA,NA,NA,ROOT,150,4.3,8,40,NA,,TSN
4414,720,Mon,2/3/2014,10:00:00 PM,7:00:00 PM,CHI,SAC,CSN-C,165,2,3,69,100,CSN-S,180,2.8,4,39,47,,
4415,721,Tue,2/4/2014,7:30:00 PM,7:30:00 PM,IND,ATL,FSI,150,5.7,8,63,NA,FSS-ATL,150,1,2,25,26,,
4416,722,Tue,2/4/2014,8:00:00 PM,7:00:00 PM,LAL,MIN,TWC SN/TWC D,150,1.7,3,98,149,FSNN-MIN+,150,1.7,3,30,39,,
4417,723,Tue,2/4/2014,9:00:00 PM,7:00:00 PM,CHI,PHX,CSN-C,165,2.9,5,103,128,FSA,165,3.2,5,60,84,NBA TV,
4418,724,Tue,2/4/2014,10:30:00 PM,7:30:00 PM,CHA,GSW,SSO-CHA,150,0.83,2.2,9.5,10.3,CSN-BA,135,3.9,7,98,125,,
4419,725,Wed,2/5/2014,7:00:00 PM,7:00:00 PM,LAL,CLE,TWC SN/TWC D,150,1.1,2,63,95,FSO,150,2.2,3,33,48,,
4420,726,Wed,2/5/2014,7:00:00 PM,7:00:00 PM,BOS,PHI,CSN-NE,150,2.9,4,71,97,CSN-P,NA,,,,,,
4421,727,Wed,2/5/2014,7:00:00 PM,7:00:00 PM,SAS,WAS,FSSW-SA,195,7.2,12,72,NA,CSN-W,195,2,3,48,54,,
4422,728,Wed,2/5/2014,8:00:00 PM,8:00:00 PM,POR,NYK,CSN-POR,150,3.3,6,40,49,MSG,165,2.2,3,166,228,ESPN,
4423,729,Wed,2/5/2014,8:00:00 PM,7:00:00 PM,PHX,HOU,FSA,150,2.8,4,52,79,CSN-H,150,1.3,2,31,54,,
4424,730,Wed,2/5/2014,8:00:00 PM,7:00:00 PM,DAL,MEM,FSSW-DAL,150,2.1,3,56,68,SSO-MEM,150,2.9,4,19,NA,,
4425,731,Wed,2/5/2014,8:00:00 PM,7:00:00 PM,ATL,NOP,FSS-ATL,135,1,1,23,25,FSNO,150,1.9,3,13,NA,,
4426,732,Wed,2/5/2014,8:00:00 PM,7:00:00 PM,MIN,OKC,FSNN-MIN,135,2.2,4,39,50,FSOK,135,10.5,15,77,NA,,
4427,733,Wed,2/5/2014,8:00:00 PM,8:00:00 PM,DET,ORL,FSD,150,1.4,2,25,31,FSFL,150,0.6,1,10,10,,
4428,734,Wed,2/5/2014,9:00:00 PM,7:00:00 PM,MIL,DEN,FSNWI,150,0.4,1,4,NA,ASE,150,1.1,2,18,24,,
4429,735,Wed,2/5/2014,10:00:00 PM,7:00:00 PM,TOR,SAC,SNET1,NA,,NA,NA,NA,CSN-S,180,2.2,3,30,31,,SNET1
4430,736,Wed,2/5/2014,10:30:00 PM,7:30:00 PM,MIA,LAC,SunSpM,195,3.9,9,65,75,FSNP,180,1,2,54,69,ESPN,
4431,737,Thu,2/6/2014,8:00:00 PM,8:00:00 PM,SAS,BRK,,NA,,NA,NA,NA,YES,150,0.5,1,38,44,TNT,
4432,738,Thu,2/6/2014,10:30:00 PM,7:30:00 PM,CHI,GSW,WGN,165,2.8,5,97,115,,NA,,,,,TNT,
4433,739,Fri,2/7/2014,7:00:00 PM,7:00:00 PM,POR,IND,CSN-POR,150,3,5,35,51,FSI,180,3.8,6,41,NA,ESPN,
4434,740,Fri,2/7/2014,7:00:00 PM,7:00:00 PM,OKC,ORL,FSOK,150,8.3,13,61,NA,FSFL,150,0.5,1,7,9,,
4435,741,Fri,2/7/2014,7:00:00 PM,7:00:00 PM,LAL,PHI,TWC SN/TWC D,135,1.3,3,71,89,CSN-P,NA,,,,,,
4436,742,Fri,2/7/2014,7:00:00 PM,7:00:00 PM,CLE,WAS,FSO,165,2.4,4,36,45,CSN-W,165,0.9,2,22,26,,
4437,743,Fri,2/7/2014,7:30:00 PM,7:30:00 PM,SAC,BOS,CSN-S,180,1.6,3,22,29,CSN-NE,150,2.1,3,52,60,,
4438,744,Fri,2/7/2014,7:30:00 PM,7:30:00 PM,BRK,DET,YES,150,0.2,NA,16,24,FSD,150,1.4,2,25,32,,
4439,745,Fri,2/7/2014,7:30:00 PM,7:30:00 PM,DEN,NYK,ASE,150,1.7,3,27,35,MSG,165,1.9,3,139,210,,
4440,746,Fri,2/7/2014,8:30:00 PM,7:30:00 PM,UTA,DAL,ROOT,135,2.2,4,20,NA,FSSW-DAL,135,2.1,3,55,60,,
4441,747,Fri,2/7/2014,9:30:00 PM,8:30:00 PM,MIN,NOP,,NA,,NA,NA,NA,,NA,,,,,ESPN,
4442,748,Fri,2/7/2014,10:30:00 PM,7:30:00 PM,TOR,LAC,TSN,NA,,NA,NA,NA,FSNP,165,1.1,2,60,77,,TSN
4443,749,Sat,2/8/2014,7:00:00 PM,7:00:00 PM,SAS,CHA,FSSW-SA,150,6.1,12,55,NA,SSO-CHA,150,0.59,1,6.8,7.4,,
4444,750,Sat,2/8/2014,7:30:00 PM,7:30:00 PM,MEM,ATL,SSO-MEM,150,1.5,2,10,NA,FSS-ATL,135,0.6,1,14,15,,
4445,751,Sat,2/8/2014,7:30:00 PM,7:30:00 PM,DEN,DET,ASE,150,1.4,3,21,31,FSD,150,1.1,2,21,26,NBA TV,
4446,752,Sat,2/8/2014,8:00:00 PM,7:00:00 PM,POR,MIN,CSN-POR,150,4.9,8,59,97,FSNN-MIN,165,1.3,2,23,30,,
4447,753,Sat,2/8/2014,8:30:00 PM,7:30:00 PM,HOU,MIL,CSN-H,150,1.1,2,26,43,FSNWI,150,0.5,1,4,NA,,
4448,754,Sat,2/8/2014,9:00:00 PM,7:00:00 PM,GSW,PHX,CSN-BA,150,2.2,4,56,78,FSA,150,2.4,4,44,81,,
4449,755,Sat,2/8/2014,9:00:00 PM,7:00:00 PM,MIA,UTA,SunSpM,150,6.6,11,109,157,ROOT,150,3.4,6,32,NA,,
4450,756,Sun,2/9/2014,1:00:00 PM,12:00:00 PM,NYK,OKC,,NA,,NA,NA,NA,,NA,,,,,ABC,
4451,757,Sun,2/9/2014,3:30:00 PM,12:30:00 PM,CHI,LAL,,NA,,NA,NA,NA,,NA,,,,,ABC,
4452,758,Sun,2/9/2014,6:00:00 PM,6:00:00 PM,DAL,BOS,FSSW-DAL,135,2.2,4,58,82,CSN-NE,135,2.4,4,59,85,NBA TV,
4453,759,Sun,2/9/2014,6:00:00 PM,6:00:00 PM,NOP,BRK,FSNO,150,1.5,2,10,NA,YES,150,1,1,71,100,,
4454,760,Sun,2/9/2014,6:00:00 PM,6:00:00 PM,MEM,CLE,SSO-MEM,165,1.381818182,1.909090909,9.272727273,NA,FSO,165,2.6,4,38,54,,
4455,761,Sun,2/9/2014,6:00:00 PM,6:00:00 PM,IND,ORL,FSI,150,4.2,6,46,NA,FSFL,150,0.6,1,9,13,,
4456,762,Sun,2/9/2014,6:00:00 PM,6:00:00 PM,SAC,WAS,CSN-S,180,1.1,2,16,23,CSN-W,150,1,1,24,34,,
4457,763,Sun,2/9/2014,9:30:00 PM,6:30:00 PM,PHI,LAC,CSN-P,135,0.9,2,28,41,FSNP,150,1.2,2,65,79,,
4458,764,Mon,2/10/2014,7:00:00 PM,7:00:00 PM,DEN,IND,ASE,150,0.8,2,13,20,FSI,150,4.2,7,46,NA,,
4459,765,Mon,2/10/2014,7:00:00 PM,7:00:00 PM,NOP,TOR,FSNO,150,1.2,1.8,8,NA,TSN2,NA,,,,,,TSN2
4460,766,Mon,2/10/2014,7:30:00 PM,7:30:00 PM,SAS,DET,FSSW-SA,135,7.5,11,68,NA,FSD,150,2.6,4,48,67,,
4461,767,Mon,2/10/2014,8:00:00 PM,7:00:00 PM,BOS,MIL,CSN-NE,150,2,3,48,57,FSNWI,150,0.4,1,3,NA,,
4462,768,Mon,2/10/2014,8:00:00 PM,7:00:00 PM,HOU,MIN,CSN-H,150,1.2,2,28,35,FSNN-MIN,150,1.7,3,30,35,NBA TV,
4463,769,Mon,2/10/2014,10:30:00 PM,7:30:00 PM,PHI,GSW,CSN-P,150,0.4,1,13,22,CSN-BA,150,3.3,5,82,109,,
4464,770,Tue,2/11/2014,7:00:00 PM,7:00:00 PM,DAL,CHA,FSSW-DAL,135,1.4,2,37,46,SSO-CHA,150,0.5,1,5.8,6.9,,
4465,771,Tue,2/11/2014,7:00:00 PM,7:00:00 PM,SAC,CLE,CSN-S,165,0.9,2,13,11,FSO,150,3.8,6,56,67,NBA TV,
4466,772,Tue,2/11/2014,8:00:00 PM,7:00:00 PM,ATL,CHI,FSS-ATL,135,0.9,1,21,32,CSN-C,135,3,5,105,128,,
4467,773,Tue,2/11/2014,8:00:00 PM,7:00:00 PM,WAS,MEM,CSN-W,150,1.2,2,29,32,SSO-MEM,150,3.4,5,23,NA,,
4468,774,Tue,2/11/2014,9:00:00 PM,7:00:00 PM,MIA,PHX,SunSpM,165,7,11,117,164,FSA,150,3.5,6,66,100,,
4469,775,Tue,2/11/2014,10:00:00 PM,7:00:00 PM,OKC,POR,FSOK,165,7.9,15,58,NA,CSN-POR,165,6,9,71,109,NBA TV,
4470,776,Tue,2/11/2014,10:30:00 PM,7:30:00 PM,UTA,LAL,ROOT,150,3.3,6,30,NA,TWC SN/TWC D,135,1.9,3,105,130,,
4471,777,Wed,2/12/2014,7:00:00 PM,7:00:00 PM,DAL,IND,FSSW-DAL,150,2.1,4,56,77,FSI,150,4.7,7,51,NA,,
4472,778,Wed,2/12/2014,7:00:00 PM,7:00:00 PM,MEM,ORL,SSO-MEM,150,2.8,4,19,NA,FSFL,150,1.1,2,16,18,,
4473,779,Wed,2/12/2014,7:00:00 PM,7:00:00 PM,ATL,TOR,FSS-ATL,135,0.9,1,21,25,TSN2,NA,,,,,,TSN2
4474,780,Wed,2/12/2014,7:30:00 PM,7:30:00 PM,SAS,BOS,FSSW-SA,135,6.3,10,57,NA,CSN-NE,135,2.5,4,61,83,,
4475,781,Wed,2/12/2014,7:30:00 PM,7:30:00 PM,CHA,BRK,SSO-CHA,150,0.47,1,5.1,6.2,YES,135,0.5,1,37,66,,
4476,782,Wed,2/12/2014,7:30:00 PM,7:30:00 PM,CLE,DET,FSO,150,3.2,5,47,61,FSD,150,2.3,4,43,53,,
4477,783,Wed,2/12/2014,7:30:00 PM,7:30:00 PM,SAC,NYK,CSN-S,180,2.1,4,29,34,MSG,165,2.4,4,181,249,NBA TV,
4478,784,Wed,2/12/2014,8:00:00 PM,7:00:00 PM,WAS,HOU,CSN-W,165,1.4,2,33,38,CSN-H,165,1.2,2,28,43,,
4479,785,Wed,2/12/2014,8:00:00 PM,7:00:00 PM,NOP,MIL,FSNO,150,2,3,13,NA,FSNWI,150,0.2,,1,NA,,
4480,786,Wed,2/12/2014,8:00:00 PM,7:00:00 PM,DEN,MIN,ASE,150,0.5,1,7,11,FSNN-MIN,150,1.8,3,31,38,,
4481,787,Wed,2/12/2014,9:00:00 PM,7:00:00 PM,PHI,UTA,CSN-P,150,0.4,1,13,20,ROOT,150,3.8,7,34,NA,,
4482,788,Wed,2/12/2014,10:30:00 PM,7:30:00 PM,MIA,GSW,SunSpM,165,6.9,16,116,149,CSN-BA,150,5.6,9,141,199,NBA TV,
4483,789,Wed,2/12/2014,10:30:00 PM,7:30:00 PM,POR,LAC,CSN-POR,150,5,8,59,82,FSNP,165,1.9,3,106,151,,
4484,790,Thu,2/13/2014,8:00:00 PM,7:00:00 PM,BRK,CHI,,NA,,NA,NA,NA,,NA,,,,,TNT,
4485,791,Thu,2/13/2014,10:30:00 PM,7:30:00 PM,OKC,LAL,,NA,,NA,NA,NA,,NA,,,,,TNT,
4486,792,Tue,2/18/2014,7:00:00 PM,7:00:00 PM,ATL,IND,FSS-ATL,150,0.6,1,15,15,FSI,135,4.3,7,47,NA,,
4487,793,Tue,2/18/2014,7:00:00 PM,7:00:00 PM,CLE,PHI,FSO,150,3.2,5,47,58,CSN-P,150,0.4,1,12,21,,
4488,794,Tue,2/18/2014,7:00:00 PM,7:00:00 PM,TOR,WAS,TSN2,NA,,NA,NA,NA,CSN-W,150,0.5,1,12,14,,TSN2
4489,795,Tue,2/18/2014,7:30:00 PM,7:30:00 PM,CHA,DET,SSO-CHA,150,0.42,1,4.4,5.2,FSD,150,1.7,3,32,35,,
4490,796,Tue,2/18/2014,8:00:00 PM,7:00:00 PM,NYK,MEM,MSG,150,2.5,4,190,224,SSO-MEM,150,3.4,5,23,NA,NBA TV,
4491,797,Tue,2/18/2014,8:00:00 PM,7:00:00 PM,ORL,MIL,FSFL,150,1.2,2,18,30,FSNWI,150,0,0,0,NA,,
4492,798,Tue,2/18/2014,8:30:00 PM,7:30:00 PM,MIA,DAL,SunSpM,165,6.6,10,109,133,FSSW-DAL,150,3.3,5,87,114,,
4493,799,Tue,2/18/2014,9:00:00 PM,7:00:00 PM,PHX,DEN,FSA,180,2.8,4,51,69,ASE,180,1.9,3,30,43,,
4494,800,Tue,2/18/2014,10:30:00 PM,7:30:00 PM,SAS,LAC,FSSW-SA,150,6.3,13,57,NA,FSNP,150,1.9,3,107,129,NBA TV,
4495,801,Wed,2/19/2014,7:00:00 PM,7:00:00 PM,DET,CHA,FSD,150,1,2,18,20,SSO-CHA,150,0.67,1,7.8,11.1,,
4496,802,Wed,2/19/2014,7:00:00 PM,7:00:00 PM,ORL,CLE,FSFL,150,0.5,1,7,13,FSO,150,3.3,5,49,58,,
4497,803,Wed,2/19/2014,7:00:00 PM,7:00:00 PM,CHI,TOR,CSN-C,165,2.3,4,80,93,TSN2,NA,,,,,,TSN2
4498,804,Wed,2/19/2014,7:30:00 PM,7:30:00 PM,WAS,ATL,CSN-W,135,0.9,1,23,22,FSS-ATL,135,0.9,1,21,27,,
4499,805,Wed,2/19/2014,8:00:00 PM,7:00:00 PM,IND,MIN,FSI,150,3.4,5,37,NA,FSNN-MIN,165,1.3,2,23,27,ESPN,
4500,806,Wed,2/19/2014,8:00:00 PM,7:00:00 PM,NYK,NOP,MSG,150,2.6,4,193,238,FSNO,150,2.4,3,16,NA,,
4501,807,Wed,2/19/2014,9:00:00 PM,7:00:00 PM,BOS,PHX,CSN-NE,165,1.9,3,45,53,FSA,150,2.7,4,50,75,,
4502,808,Wed,2/19/2014,9:00:00 PM,7:00:00 PM,BRK,UTA,YES,150,0.4,1,33,42,ROOT,150,2.9,5,27,NA,,
4503,809,Wed,2/19/2014,10:00:00 PM,7:00:00 PM,SAS,POR,FSSW-SA,165,6.5,11,59,NA,CSN-POR,150,4.9,8,58,77,,
4504,810,Wed,2/19/2014,10:00:00 PM,7:00:00 PM,GSW,SAC,CSN-BA,150,3,5,77,102,CSN-S,165,2,3,28,42,,
4505,811,Wed,2/19/2014,10:30:00 PM,7:30:00 PM,HOU,LAL,CSN-H,150,0.8,2,19,27,TWC SN/TWC D,150,1.3,2,75,118,ESPN,
4506,812,Thu,2/20/2014,8:00:00 PM,7:00:00 PM,DEN,MIL,ASE,150,1.5,3,24,31,FSNWI,150,0.6,1,6,NA,,
4507,813,Thu,2/20/2014,8:00:00 PM,7:00:00 PM,MIA,OKC,,NA,,NA,NA,NA,,NA,,,,,TNT,
4508,814,Thu,2/20/2014,10:30:00 PM,7:30:00 PM,HOU,GSW,CSN-H,195,0.6,1,13,7,,NA,,,,,TNT,
4509,815,Fri,2/21/2014,7:00:00 PM,7:00:00 PM,NOP,CHA,FSNO,150,1.34,2.4,8.9,NA,SSO-CHA,150,0.87,1.4,10.1,11.3,,
4510,816,Fri,2/21/2014,7:00:00 PM,7:00:00 PM,NYK,ORL,MSG,180,2.1,3,153,179,FSFL,180,1.3,2,20,20,,
4511,817,Fri,2/21/2014,7:00:00 PM,7:00:00 PM,DAL,PHI,FSSW-DAL,150,1.5,3,39,49,CSN-P,150,1,2,29,43,,
4512,818,Fri,2/21/2014,7:00:00 PM,7:00:00 PM,CLE,TOR,FSO,150,2.9,5,42,57,TSN2,NA,,,,,,TSN2
4513,819,Fri,2/21/2014,7:30:00 PM,7:30:00 PM,ATL,DET,FSS-ATL,150,0.9,2,22,37,FSD,150,1.3,2,24,28,,
4514,820,Fri,2/21/2014,8:00:00 PM,7:00:00 PM,DEN,CHI,ASE,165,0.6,1,10,12,WCIU,165,2.9,5,104,154,ESPN,
4515,821,Fri,2/21/2014,8:00:00 PM,7:00:00 PM,LAC,MEM,FSNP,150,0.9,2,49,62,SSO-MEM,150,3.3,5,22,NA,,
4516,822,Fri,2/21/2014,9:00:00 PM,7:00:00 PM,SAS,PHX,KENS,150,7.9,14,72,NA,FSA,135,2.6,4,48,60,,
4517,823,Fri,2/21/2014,10:00:00 PM,7:00:00 PM,UTA,POR,ROOT,135,2.177777778,4.555555556,20,NA,CSN-POR,150,3.8,6,45,61,,
4518,824,Fri,2/21/2014,10:30:00 PM,7:30:00 PM,BOS,LAL,CSN-NE,150,1.2,3,30,33,TWC SN/TWC D,150,1.3,2,72,118,ESPN,
4519,825,Sat,2/22/2014,7:00:00 PM,7:00:00 PM,MEM,CHA,SSO-MEM,150,2.1,3,14,NA,SSO-CHA,150,0.54,1,6,10.1,,
