GM,DAY,DATE,ET,LOCAL,AWAY,HOME,AWAY TV,DUR,HH RTG,HH SHR,HH IMP,P2+ IMP,HOME TV,DUR,HH RTG,HH SHR,HH IMP,P2+ IMP,NAT TV,CN TV
723,Mon,1/30/2017,10:30:00 PM,8:30:00 PM,MEM,PHX,,,,,,,,,,,,,TNT,
724,Tue,1/31/2017,7:00:00 PM,7:00:00 PM,NYK,WAS,MSG,135,1.4,2,100,118,CSN-W,135,1.4,2,34,59,,
725,Tue,1/31/2017,7:30:00 PM,7:30:00 PM,NOP,TOR,FSNO,150,1.4,2,9,,TSN1/4,,,,,,,TSN1/4
726,Tue,1/31/2017,8:00:00 PM,7:00:00 PM,SAC,HOU,CSN-S,135,1.5,3,21,28,ROOT-SW,150,2,3,48,60,,
727,Tue,1/31/2017,8:30:00 PM,7:30:00 PM,OKC,SAS,FSOK,165,8.4,12,60,,FSSW-SA,150,6.6,10,62,,NBA TV,
728,Tue,1/31/2017,10:00:00 PM,7:00:00 PM,CHA,POR,FSSE-CHA,150,0.66,1.3,8.1,10,CSN-POR,150,2.8,5,32,50,,
729,Tue,1/31/2017,10:30:00 PM,7:30:00 PM,DEN,LAL,ASE2,150,0.82,1.9,13.3,14,SpecSN/D,150,2,3,110,160,,
730,Wed,2/1/2017,7:00:00 PM,7:00:00 PM,IND,ORL,FSI,150,2.7,4,30,,FSFL,150,0.7,1,11,15,,
731,Wed,2/1/2017,7:00:00 PM,7:00:00 PM,MIN,CLE,FSNN-MIN,150,1.1,2,20,24,FSO,135,6.6,11,99,139,ESPN,
732,Wed,2/1/2017,7:30:00 PM,7:30:00 PM,TOR,BOS,SN1,,,,,,CSN-NE,150,2.8,5,68,85,,SN1
733,Wed,2/1/2017,7:30:00 PM,7:30:00 PM,NYK,BRK,MSG,150,2,3,145,163,YES,150,0.41,1,29,37,,
734,Wed,2/1/2017,7:30:00 PM,7:30:00 PM,ATL,MIA,FSSE-ATL,150,1,2,24,26,FS-SUN,150,3.8,6,64,102,,
735,Wed,2/1/2017,7:30:00 PM,7:30:00 PM,NOP,DET,FSNO,150,1,2,6,,FSD,135,1.4,2,27,30,,
736,Wed,2/1/2017,8:30:00 PM,7:30:00 PM,PHI,DAL,CSN-P,150,2.7,4,80,107,FSSW-DAL,150,1.9,3,50,64,,
737,Wed,2/1/2017,9:00:00 PM,7:00:00 PM,MEM,DEN,FSSE-MEM,150,2,3,13,,ASE,150,0.8,1,12,14,,
738,Wed,2/1/2017,9:00:00 PM,7:00:00 PM,MIL,UTA,FSNWI,135,2.1,4,19,,ROOT-RM,150,4.07,7.9,37.5,,,
739,Wed,2/1/2017,9:00:00 PM,7:00:00 PM,LAC,PHX,FSNP,165,0.9,2,50,71,FSA,165,1.7,3,31,45,,
740,Wed,2/1/2017,9:30:00 PM,8:30:00 PM,CHI,OKC,,,,,,,,,,,,,ESPN,
741,Wed,2/1/2017,10:30:00 PM,7:30:00 PM,CHA,GSW,FSSE-CHA,150,0.63,1.5,7.4,11.7,CSN-BA,135,11,19,274,421,,
742,Thu,2/2/2017,7:00:00 PM,7:00:00 PM,LAL,WAS,SpecSN/D,150,0.9,2,50,63,CSN-W,150,1.6,3,41,59,,
743,Thu,2/2/2017,8:00:00 PM,7:00:00 PM,ATL,HOU,,,,,,,,,,,,,TNT,
744,Thu,2/2/2017,8:30:00 PM,7:30:00 PM,PHI,SAS,TCN-P,150,1.3,2,37,45,FSSW-SA,150,5.9,9,55,,,
745,Thu,2/2/2017,10:30:00 PM,7:30:00 PM,GSW,LAC,,,,,,,,,,,,,TNT,
746,Fri,2/3/2017,7:00:00 PM,7:00:00 PM,TOR,ORL,TSN,,,,,,FSFL,165,0.9,2,14,23,,TSN
747,Fri,2/3/2017,7:30:00 PM,7:30:00 PM,IND,BRK,FSI,150,4.1,7,44,,YES,150,0.3,1,22,30,,
748,Fri,2/3/2017,7:30:00 PM,7:30:00 PM,MIN,DET,FSNN-MIN,150,1.9,4,33,50,FSD,150,1.4,2,26,37,,
749,Fri,2/3/2017,8:00:00 PM,7:00:00 PM,CHI,HOU,CSN-C,180,2.3,4,80,114,ROOT-SW,195,2.5,4,60,83,,
750,Fri,2/3/2017,8:00:00 PM,7:00:00 PM,MEM,OKC,FSSE-MEM,165,1.618181818,2.272727273,10,,FSOK,165,4.854545455,7.727272727,35.09090909,,,
751,Fri,2/3/2017,8:00:00 PM,8:00:00 PM,LAL,BOS,SpecSN/D,150,0.4,1,23,36,CSN-NE,150,3.1,6,75,106,ESPN,
752,Fri,2/3/2017,9:00:00 PM,7:00:00 PM,MIL,DEN,FSNWI,165,1.9,3,17,,ASE,165,0.9,2,14,17,,
753,Fri,2/3/2017,10:30:00 PM,7:30:00 PM,PHX,SAC,FSA,150,1.1,2,22,33,CSN-S,150,2.2,4,30,41,,
754,Fri,2/3/2017,10:30:00 PM,7:30:00 PM,DAL,POR,FSSW-DAL,150,0.7,2,20,22,KGW,150,4.3,8,49,63,ESPN,
755,Sat,2/4/2017,7:00:00 PM,7:00:00 PM,NOP,WAS,FSNO,135,0.877777778,1.444444444,5.666666667,,CSN-W,135,1.3,3,32,44,,
756,Sat,2/4/2017,7:00:00 PM,7:00:00 PM,ORL,ATL,FSFL,135,0.5,1,8,9,FSSE-ATL,135,0.7,1,18,21,,
757,Sat,2/4/2017,7:00:00 PM,7:00:00 PM,DET,IND,FSD+,135,1.3,2,25,29,FSI,135,3.7,7,40,,,
758,Sat,2/4/2017,7:30:00 PM,7:30:00 PM,PHI,MIA,CSN-P,150,1.3,2,39,50,FS-SUN,195,2.6,5,45,61,,
759,Sat,2/4/2017,8:30:00 PM,8:30:00 PM,CLE,NYK,,,,,,,,,,,,,ABC,
760,Sat,2/4/2017,9:00:00 PM,7:00:00 PM,CHA,UTA,FSSE-CHA,150,0.52,1.111111111,6.3,7,ROOT-RM,150,3.9,8,35.8,,,
761,Sat,2/4/2017,9:00:00 PM,7:00:00 PM,MIL,PHX,FSNWI,150,2,4,18,,FSA+,150,0.7,1,13,19,,
762,Sat,2/4/2017,9:00:00 PM,8:00:00 PM,DEN,SAS,ASE,135,0.7,1,12,14,FSSW-SA,135,6.9,12,64,,,
763,Sat,2/4/2017,9:00:00 PM,8:00:00 PM,MEM,MIN,FSSE-MEM,165,0.872727273,1.272727273,5.454545455,,FSNN-MIN+,165,0.9,2,15,33,,
764,Sat,2/4/2017,10:30:00 PM,7:30:00 PM,GSW,SAC,CSN-BA,165,10.6,21,263,406,CSN-S,165,4,8,56,88,,
766,Sun,2/5/2017,2:00:00 PM,2:00:00 PM,LAC,BOS,,,,,,,,,,,,,ABC,
767,Sun,2/5/2017,3:00:00 PM,2:00:00 PM,POR,OKC,CSN-POR,150,1.3,3,14,27,FSOK,150,6.35,10.9,45.8,,,
765,Sun,2/5/2017,12:00:00 PM,12:00:00 PM,TOR,BRK,SN1,,,,,,YES,150,0.3,1,19,25,,SN1
768,Mon,2/6/2017,7:00:00 PM,7:00:00 PM,LAL,NYK,,,,,,,MSG,150,1.4,2,105,112,,
769,Mon,2/6/2017,7:00:00 PM,7:00:00 PM,CLE,WAS,FSO,195,9.5,15,142,207,,,,,,,TNT,
770,Mon,2/6/2017,7:00:00 PM,7:00:00 PM,OKC,IND,FSOK,150,7.13,10.7,51.6,,FSI,150,3.8,6,41,,,
771,Mon,2/6/2017,7:30:00 PM,7:30:00 PM,LAC,TOR,FSNP,150,0.3,1,18,22,TSN,,,,,,,TSN
772,Mon,2/6/2017,7:30:00 PM,7:30:00 PM,UTA,ATL,ROOT-RM,150,3.89,7.8,35.9,,FSSE-ATL,135,1,2,24,29,,
773,Mon,2/6/2017,7:30:00 PM,7:30:00 PM,PHI,DET,TCN-P,135,1.2,2,35,49,FSD,135,1.68,3,32,43,,
774,Mon,2/6/2017,8:00:00 PM,7:00:00 PM,PHX,NOP,FSA,150,1.2,2,24,32,FSNO,150,2.01,2.7,13,,,
775,Mon,2/6/2017,8:00:00 PM,7:00:00 PM,MIA,MIN,FS-SUN,150,4.1,7,69,90,FSNN-MIN,150,1.2,2,20,23,,
776,Mon,2/6/2017,9:00:00 PM,7:00:00 PM,DAL,DEN,FSSW-DAL,150,0.8,1,21,21,ASE,150,0.9,2,15,19,,
777,Mon,2/6/2017,9:30:00 PM,8:30:00 PM,SAS,MEM,FSSW-SA,165,3.2,6,30,,,,,,,,TNT,
778,Mon,2/6/2017,10:30:00 PM,7:30:00 PM,CHI,SAC,WGN,150,2.8,6,97,127,CSN-S,150,2.1,4,29,49,,
779,Tue,2/7/2017,7:00:00 PM,7:00:00 PM,BRK,CHA,YES,150,0.2,0,14,13,FSSE-CHA,150,0.88,1.444444444,10.3,14,,
780,Tue,2/7/2017,8:00:00 PM,7:00:00 PM,ORL,HOU,FSFL,135,0.6,1,8,13,ROOT-SW,150,2.6,4,63,83,NBA TV,
781,Tue,2/7/2017,8:30:00 PM,7:30:00 PM,POR,DAL,CSN-POR,150,2,4,23,37,FSSW-DAL,150,1.2,2,33,35,,
782,Wed,2/8/2017,7:00:00 PM,7:00:00 PM,SAS,PHI,FSSW-SA,150,5.8,10,55,,CSN-P,150,1.4,2,42,48,,
783,Wed,2/8/2017,7:00:00 PM,7:00:00 PM,CLE,IND,FSO,150,7.8,12,116,169,FSI,150,4.2,7,46,,,
784,Wed,2/8/2017,7:30:00 PM,7:30:00 PM,WAS,BRK,CSN-W,180,1.6,3,38,59,YES,165,0.1,0,6,6,,
785,Wed,2/8/2017,7:30:00 PM,7:30:00 PM,DEN,ATL,ASE,135,0.7,2,12,13,FSSE-ATL,150,0.7,1,17,22,,
786,Wed,2/8/2017,7:30:00 PM,7:30:00 PM,LAL,DET,SpecSN/D,135,0.89,2,48,73,FSD,150,1.4,2,26,31,,
787,Wed,2/8/2017,8:00:00 PM,7:00:00 PM,MIA,MIL,FS-SUN,150,4.4,7,75,96,FSNWI,150,2.6,4,23,,,
788,Wed,2/8/2017,8:00:00 PM,7:00:00 PM,PHX,MEM,FSA,165,1,2,19,30,FSSE-MEM,165,2.290909091,3.181818182,14.54545455,,,
789,Wed,2/8/2017,8:00:00 PM,7:00:00 PM,UTA,NOP,ROOT-RM,150,3.59,7.2,33.2,,FSNO,150,1.63,2.4,10.5,,,
790,Wed,2/8/2017,8:00:00 PM,7:00:00 PM,TOR,MIN,SN1,,,,,,FSNN-MIN,150,1.4,2,24,35,,SN1
791,Wed,2/8/2017,8:00:00 PM,8:00:00 PM,LAC,NYK,FSNP,150,0.7,1,37,56,MSG,165,2.1,3,158,185,ESPN,
792,Wed,2/8/2017,10:30:00 PM,7:30:00 PM,CHI,GSW,CSN-C,150,0.4,1,15,17,CSN-BA,150,9.8,18,244,370,ESPN,
793,Wed,2/8/2017,10:30:00 PM,7:30:00 PM,BOS,SAC,CSN-NE,150,1.9,5,47,61,CSN-S,150,1.8,3,25,39,,
794,Thu,2/9/2017,7:00:00 PM,7:00:00 PM,HOU,CHA,ROOT-SW,135,1.8,3,43,55,FSSE-CHA,135,0.788888889,1.222222222,9.222222222,10,,
795,Thu,2/9/2017,7:00:00 PM,7:00:00 PM,PHI,ORL,CSN-P,165,1.6,2,48,62,FSFL,165,1,2,15,20,,
796,Thu,2/9/2017,8:00:00 PM,7:00:00 PM,CLE,OKC,,,,,,,,,,,,,TNT,
797,Thu,2/9/2017,8:30:00 PM,7:30:00 PM,UTA,DAL,ROOT-RM,180,5.275,9.833333333,48.5,,FSSW-DAL,180,1.2,2,32,39,,
798,Thu,2/9/2017,10:30:00 PM,7:30:00 PM,BOS,POR,CSN-NE,150,0.6,2,14,17,,,,,,,TNT,
799,Fri,2/10/2017,7:30:00 PM,7:30:00 PM,MIA,BRK,FS-SUN,150,3.7,7,62,93,YES,150,0.3,1,23,33,,
800,Fri,2/10/2017,7:30:00 PM,7:30:00 PM,DEN,NYK,ASE,150,0.8,2,12,14,MSG,135,2.2,4,161,219,,
801,Fri,2/10/2017,7:30:00 PM,7:30:00 PM,SAS,DET,FSSW-SA,135,6.9,13,65,,FSD,135,1,2,18,21,,
802,Fri,2/10/2017,8:00:00 PM,7:00:00 PM,LAL,MIL,SpecSN/D,165,1.5,3,82,121,FSNWI,165,1.6,3,14,,,
803,Fri,2/10/2017,8:00:00 PM,7:00:00 PM,GSW,MEM,CSN-BA,165,7.7,17,192,274,FSSE-MEM,150,2.61,3.9,16.7,,,
804,Fri,2/10/2017,8:00:00 PM,7:00:00 PM,NOP,MIN,FSNO,150,1.48,2.3,9.6,,FSNN-MIN,150,1.4,3,24,35,,
805,Fri,2/10/2017,8:00:00 PM,8:00:00 PM,IND,WAS,FSI,150,2.9,5,31,,CSN-W,150,0.7,1,16,23,ESPN,
806,Fri,2/10/2017,10:30:00 PM,7:30:00 PM,ATL,SAC,FSSE-ATL,165,0.5,1,13,21,CSN-S,165,2.2,4,31,48,,
807,Fri,2/10/2017,10:30:00 PM,8:30:00 PM,CHI,PHX,WGN,150,2.2,5,77,98,FSA,150,0.9,2,17,23,ESPN,
808,Sat,2/11/2017,5:00:00 PM,5:00:00 PM,LAC,CHA,FSNP,165,0.8,2,45,58,FSSE-CHA,150,0.4,1,4,6,,
809,Sat,2/11/2017,7:00:00 PM,7:00:00 PM,MIL,IND,FSNWI,150,1.7,3,16,,FSI,150,3.3,6,36,,,
810,Sat,2/11/2017,7:30:00 PM,7:30:00 PM,MIA,PHI,FS-SUN,165,3.1,6,53,70,CSN-P,165,2,3,58,89,,
811,Sat,2/11/2017,7:30:00 PM,7:30:00 PM,DEN,CLE,ASE,150,0.4,1,7,18,FSO,135,8.2,15,123,194,,
813,Sat,2/11/2017,8:30:00 PM,7:30:00 PM,GSW,OKC,,,,,,,,,,,,,ABC,
812,Sat,2/11/2017,9:00:00 PM,8:00:00 PM,PHX,HOU,FSA,150,0.9,2,16,25,ROOT-SW,150,1.3,2,32,39,,
814,Sat,2/11/2017,9:00:00 PM,8:00:00 PM,ORL,DAL,FSFL,135,0.3,1,4,5,FSSW-DAL,150,0.8,1,20,25,,
815,Sat,2/11/2017,10:00:00 PM,8:00:00 PM,BOS,UTA,CSN-NE,150,1.8,4,42,59,ROOT-RM,150,4.87,10,44.6,,,
816,Sun,2/12/2017,3:30:00 PM,2:30:00 PM,CHI,MIN,CSN-C,135,0.9,2,33,44,FSNN-MIN,135,1.1,3,19,31,,
817,Sun,2/12/2017,3:30:00 PM,3:30:00 PM,SAS,NYK,,,,,,,,,,,,,ABC,
818,Sun,2/12/2017,6:00:00 PM,6:00:00 PM,DET,TOR,FSD,150,1.8,3,33,49,TSN,,,,,,NBA TV,TSN
819,Sun,2/12/2017,9:00:00 PM,6:00:00 PM,NOP,SAC,FSNO,150,1.21,2,7.6,,CSN-S,150,2.1,4,29,51,NBA TV,
820,Mon,2/13/2017,7:00:00 PM,7:00:00 PM,OKC,WAS,FSOK,165,4,6,28,,,,,,,,TNT,
821,Mon,2/13/2017,7:00:00 PM,7:00:00 PM,PHI,CHA,CSN-P,150,2,3,60,76,FSSE-CHA,150,0.53,1,6.5,8,,
822,Mon,2/13/2017,7:30:00 PM,7:30:00 PM,MEM,BRK,FSSE-MEM,150,2.04,2.7,12.9,,YES,150,0.2,0,15,18,,
823,Mon,2/13/2017,7:30:00 PM,7:30:00 PM,ORL,MIA,FSFL,150,1.2,2,18,25,FS-SUN,165,3.7,6,62,76,,
824,Mon,2/13/2017,8:00:00 PM,7:00:00 PM,DET,MIL,FSD,135,1.3,2,23,28,FSNWI,135,2.5,4,22,,,
825,Mon,2/13/2017,8:00:00 PM,8:00:00 PM,SAS,IND,FSSW-SA,150,4.7,8,44,,FSI,150,4.5,7,49,,,
826,Mon,2/13/2017,8:30:00 PM,7:30:00 PM,BOS,DAL,CSN-NE,150,2.8,5,68,80,FSSW-DAL,150,1.3,2,34,40,,
827,Mon,2/13/2017,9:00:00 PM,7:00:00 PM,GSW,DEN,CSN-BA,135,8.9,17,221,311,ASE,135,1.8,3,29,35,,
828,Mon,2/13/2017,9:00:00 PM,7:00:00 PM,LAC,UTA,FSNP,135,0.7,1,39,49,ROOT-RM,135,4.6,9,42,,,
829,Mon,2/13/2017,9:00:00 PM,7:00:00 PM,NOP,PHX,FSNO,150,1.22,1.8,8,,FSA,150,1.3,2,24,35,,
830,Mon,2/13/2017,10:30:00 PM,7:30:00 PM,ATL,POR,,,,,,,,,,,,,TNT,
831,Tue,2/14/2017,8:00:00 PM,7:00:00 PM,TOR,CHI,TSN1,,,,,,CSN-C,150,1.7,3,57,77,,TSN1
832,Tue,2/14/2017,8:00:00 PM,7:00:00 PM,CLE,MIN,FSO,150,9.4,15,141,215,FSNN-MIN,150,1.5,3,27,31,NBA TV,
833,Tue,2/14/2017,10:30:00 PM,7:30:00 PM,SAC,LAL,CSN-S,135,3.1,5,43,87,SpecSN/D,135,2.1,4,114,180,NBA TV,
834,Wed,2/15/2017,7:00:00 PM,7:00:00 PM,SAS,ORL,FSSW-SA,135,6.1,11,57,,FSFL,135,0.9,1,13,18,,
835,Wed,2/15/2017,7:00:00 PM,7:00:00 PM,IND,CLE,FSI,150,2,3,22,,FSO,150,7.2,11,108,161,ESPN,
836,Wed,2/15/2017,7:30:00 PM,7:30:00 PM,PHI,BOS,CSN-P,150,2.6,4,77,99,CSN-NE,150,3.5,6,84,113,,
837,Wed,2/15/2017,7:30:00 PM,7:30:00 PM,CHA,TOR,FSSE-CHA,150,0.52,1,6.1,9.8,TSN,,,,,,,TSN
838,Wed,2/15/2017,7:30:00 PM,7:30:00 PM,MIL,BRK,FSNWI,150,2.4,4,22,,YES,150,0.1,0,7,7,,
839,Wed,2/15/2017,7:30:00 PM,7:30:00 PM,DAL,DET,FSSW-DAL,150,0.6,1,17,22,FSD,135,1.4,2,26,32,,
840,Wed,2/15/2017,8:00:00 PM,7:00:00 PM,NOP,MEM,FSNO,150,0.87,1.4,5.4,,FSSE-MEM,150,2.31,3.1,14.7,,,
841,Wed,2/15/2017,8:00:00 PM,7:00:00 PM,MIA,HOU,FS-SUN,150,3.2,6,54,71,ROOT-SW,150,2.2,4,54,74,,
842,Wed,2/15/2017,9:00:00 PM,7:00:00 PM,MIN,DEN,FSNN-MIN,150,1,2,17,22,ASE,150,1,2,17,20,,
843,Wed,2/15/2017,9:00:00 PM,7:00:00 PM,POR,UTA,KGW,150,6.1,11,70,94,ROOT-RM,150,5.13,9.7,47.1,,,
844,Wed,2/15/2017,9:00:00 PM,7:00:00 PM,LAL,PHX,SpecSN/D,135,0.8,2,46,73,FSA,135,1.4,2,27,42,,
845,Wed,2/15/2017,9:30:00 PM,8:30:00 PM,NYK,OKC,MSG,150,1.3,2,95,115,FSOK,150,4.37,7.4,31.7,,ESPN,
846,Wed,2/15/2017,10:30:00 PM,7:30:00 PM,ATL,LAC,FSSE-ATL,135,0.5,1,11,11,FSNP,135,0.6,1,34,43,,
847,Wed,2/15/2017,10:30:00 PM,7:30:00 PM,SAC,GSW,CSN-S,135,4.1,7,56,91,CSN-BA,135,11.2,20,279,389,,
848,Thu,2/16/2017,7:00:00 PM,7:00:00 PM,WAS,IND,CSN-W,135,1.4,2,35,44,FSI,135,3,5,33,,,
849,Thu,2/16/2017,8:00:00 PM,7:00:00 PM,BOS,CHI,,,,,,,,,,,,,TNT,
850,Thu,2/23/2017,7:00:00 PM,7:00:00 PM,POR,ORL,CSN-POR,150,1.6,4,18,27,FSFL,150,0.5,1,8,11,,
851,Thu,2/23/2017,7:30:00 PM,7:30:00 PM,CHA,DET,FSSE-CHA,150,0.86,1.3,10.1,14,FSD,150,1.1,2,20,27,,
852,Thu,2/23/2017,8:00:00 PM,7:00:00 PM,HOU,NOP,ROOT-SW,150,3.1,5,76,110,FSNO,150,2.46,3.5,15.8,,,
853,Thu,2/23/2017,8:00:00 PM,8:00:00 PM,NYK,CLE,,,,,,,,,,,,,TNT,
854,Thu,2/23/2017,10:30:00 PM,7:30:00 PM,LAC,GSW,,,,,,,,,,,,,TNT,
855,Thu,2/23/2017,10:30:00 PM,7:30:00 PM,DEN,SAC,ASE,135,0.8,2,13,17,CSN-S,135,3.3,6,46,67,,
856,Fri,2/24/2017,7:00:00 PM,7:00:00 PM,WAS,PHI,CSN-W+,165,0.7,1,17,22,CSN-P,165,2,4,59,71,,
857,Fri,2/24/2017,7:00:00 PM,7:00:00 PM,MEM,IND,FSSE-MEM,150,1.25,1.8,8,,FSI,150,2.9,5,32,,,
858,Fri,2/24/2017,7:30:00 PM,7:30:00 PM,BOS,TOR,CSN-NE,165,3.1,6,76,99,SN1,,,,,,,SN1
859,Fri,2/24/2017,8:00:00 PM,7:00:00 PM,PHX,CHI,FSA,165,0.8,2,16,24,WGN,165,3.6,7,124,182,,
860,Fri,2/24/2017,8:00:00 PM,7:00:00 PM,UTA,MIL,ROOT-RM,150,4.72,10.1,43.4,,FSNWI,150,2.2,4,19,,,
861,Fri,2/24/2017,8:00:00 PM,7:00:00 PM,LAL,OKC,SpecSN/D,135,1.1,2,63,96,FSOK,150,9.1,14.6,63.9,,,
862,Fri,2/24/2017,8:00:00 PM,7:00:00 PM,DAL,MIN,FSSW-DAL,135,0.8,2,23,35,FSNN-MIN,135,2.7,5,46,66,ESPN,
863,Fri,2/24/2017,8:00:00 PM,8:00:00 PM,MIA,ATL,FS-SUN,150,3.2,6,55,67,FSSE-ATL,135,0.9,2,22,27,,
864,Fri,2/24/2017,9:00:00 PM,7:00:00 PM,BRK,DEN,YES,150,0.2,0,18,17,ASE,150,1.1,2,18,22,,
865,Fri,2/24/2017,10:30:00 PM,7:30:00 PM,SAS,LAC,KENS,165,5.8,13,54,,FSNP,150,0.8,1,42,63,ESPN,
866,Sat,2/25/2017,5:00:00 PM,2:00:00 PM,CHA,SAC,FSSE-CHA,135,0.788888889,1.777777778,9.333333333,18,CSN-S,135,0.9,2,12,24,NBA TV,
867,Sat,2/25/2017,7:00:00 PM,7:00:00 PM,ATL,ORL,FSSE-ATL,150,0.7,1,16,17,FSFL,150,1,2,15,22,,
868,Sat,2/25/2017,7:30:00 PM,7:30:00 PM,PHI,NYK,CSN-P,150,1.6,3,47,64,MSG,165,2,4,146,181,,
869,Sat,2/25/2017,8:00:00 PM,8:00:00 PM,IND,MIA,FSI,150,2.7,5,30,,FS-SUN,165,3,6,51,64,,
870,Sat,2/25/2017,8:30:00 PM,7:30:00 PM,NOP,DAL,FSNO,150,1.19,1.9,7.5,,FSSW-DAL,150,1.5,3,40,50,,
871,Sat,2/25/2017,8:30:00 PM,8:30:00 PM,CHI,CLE,,,,,,,,,,,,,ABC,
872,Sat,2/25/2017,9:00:00 PM,8:00:00 PM,MIN,HOU,FSNN-MIN,150,1.2,2,22,32,ROOT-SW,150,2.6,5,64,85,,
873,Sat,2/25/2017,10:30:00 PM,7:30:00 PM,BRK,GSW,YES,135,0.3,1,19,21,CSN-BA,135,9.6,20,240,376,,
874,Sun,2/26/2017,3:30:00 PM,12:30:00 PM,SAS,LAL,FSSW-SA,135,7.6,16,72,,SpecSN/D,135,1,2,53,71,,
875,Sun,2/26/2017,3:30:00 PM,2:30:00 PM,PHX,MIL,FSA,150,1.2,3,22,29,FSNWI,150,1.5,3,14,,NBA TV,
876,Sun,2/26/2017,5:00:00 PM,3:00:00 PM,MEM,DEN,FSSE-MEM,150,1.044444444,2.142857143,6.777777778,,ASE,150,0.9,2,15,22,,
877,Sun,2/26/2017,5:00:00 PM,5:00:00 PM,UTA,WAS,ROOT-RM,150,3.31,8.2,30.4,,CSN-W,150,1.1,2,27,45,,
878,Sun,2/26/2017,6:00:00 PM,6:00:00 PM,POR,TOR,CSN-POR,165,2.9,5,33,42,SN1,,,,,,,SN1
879,Sun,2/26/2017,6:00:00 PM,6:00:00 PM,BOS,DET,CSN-NE,165,3.7,6,88,126,FSD,180,1.4,2,26,37,,
880,Sun,2/26/2017,7:00:00 PM,6:00:00 PM,NOP,OKC,FSNO,150,1.18,1.7,7.5,,FSOK,165,10.02727273,14.72727273,72.36363636,,NBA TV,
881,Sun,2/26/2017,9:30:00 PM,6:30:00 PM,CHA,LAC,FSSE-CHA,150,0.97,2,11.7,13,FSNP,180,1.3,2,69,86,NBA TV,
882,Mon,2/27/2017,7:00:00 PM,7:00:00 PM,TOR,NYK,TSN1/3/4,,,,,,MSG,150,1.8,3,129,163,,TSN1/3/4
883,Mon,2/27/2017,7:00:00 PM,7:00:00 PM,GSW,PHI,CSN-BA,150,6.5,17,162,214,CSN-P,150,2.4,4,70,98,,
884,Mon,2/27/2017,7:00:00 PM,7:00:00 PM,MIL,CLE,FSNWI,,,,,,FSO,150,8.8,14,132,189,TNT,
885,Mon,2/27/2017,7:30:00 PM,7:30:00 PM,ATL,BOS,FSSE-ATL,150,1,2,24,29,CSN-NE,150,2.4,4,58,82,,
886,Mon,2/27/2017,8:00:00 PM,7:00:00 PM,IND,HOU,FSI,,,,,,ROOT-SW,,,,,,TNT,
887,Mon,2/27/2017,9:30:00 PM,8:30:00 PM,MIA,DAL,,,,,,,,,,,,,,
888,Mon,2/27/2017,10:30:00 PM,7:30:00 PM,MIN,SAC,FSNN-MIN,135,1.6,4,28,33,CSN-S,135,2.7,4,37,56,,
889,Tue,2/28/2017,7:00:00 PM,7:00:00 PM,GSW,WAS,CSN-BA,150,7.3,20,182,235,CSN-W,150,2.8,5,69,99,NBA TV,
890,Tue,2/28/2017,7:30:00 PM,7:30:00 PM,POR,DET,CSN-POR,150,1.4,3,16,22,FSD,165,1.1,2,20,20,,
891,Tue,2/28/2017,8:00:00 PM,7:00:00 PM,DEN,CHI,ASE,135,1,2,16,18,CSN-C,135,1.1,2,40,58,,
892,Tue,2/28/2017,8:00:00 PM,7:00:00 PM,PHX,MEM,FSA,150,0.9,2,17,30,FSSE-MEM,150,1.2,2,8,,,
893,Tue,2/28/2017,8:00:00 PM,7:00:00 PM,UTA,OKC,ROOT-RM,150,4.35,8.5,40.2,,FSOK,150,8.27,12.1,59.6,,,
894,Tue,2/28/2017,10:30:00 PM,7:30:00 PM,CHA,LAL,FSSE-CHA,150,0.53,1.1,6.3,7,SpecSN/D,150,1.7,3,93,119,NBA TV,
895,Wed,3/1/2017,7:00:00 PM,7:00:00 PM,NYK,ORL,MSG,150,1.6,3,117,134,FSFL,150,0.8,1,12,14,,
896,Wed,3/1/2017,7:30:00 PM,7:30:00 PM,WAS,TOR,CSN-W,135,1.6,3,39,51,SN1,,,,,,,SN1
897,Wed,3/1/2017,7:30:00 PM,7:30:00 PM,DAL,ATL,FSSW-DAL,150,0.9,2,24,27,FSSE-ATL,150,1.1,2,28,32,,
898,Wed,3/1/2017,7:30:00 PM,7:30:00 PM,PHI,MIA,CSN-P,135,1.2,2,36,48,FS-SUN,150,3.2,5,54,63,,
899,Wed,3/1/2017,8:00:00 PM,7:00:00 PM,DEN,MIL,ASE,135,0.8,2,13,15,FSNWI,135,0.9,2,8,,,
900,Wed,3/1/2017,8:00:00 PM,7:00:00 PM,DET,NOP,FSD,135,1.1,2,21,33,FSNO,135,0.9,1.2,5.7,,,
901,Wed,3/1/2017,8:00:00 PM,8:00:00 PM,CLE,BOS,FSO,165,8.3,13,124,188,CSN-NE,165,3.7,6,89,127,ESPN,
902,Wed,3/1/2017,8:30:00 PM,7:30:00 PM,IND,SAS,FSI,150,3.7,6,40,,FSSW-SA,150,8.7,15,82,,,
903,Wed,3/1/2017,9:00:00 PM,7:00:00 PM,MIN,UTA,FSNN-MIN,135,1.7,3,29,41,ROOT-RM,135,3.733333333,7.333333333,34.33333333,,,
904,Wed,3/1/2017,10:30:00 PM,7:30:00 PM,HOU,LAC,ROOT-SW,165,0.9,2,22,29,FSNP,165,0.5,1,27,32,ESPN,
