Entering,Season,ATL,BOS,BRK,CHA,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHX,POR,SAC,SAS,TOR,UTA,WAS
2012-6-30,2011-12,0.606060606,0.590909091,0.333333333,0.106060606,0.757575758,0.318181818,0.545454545,0.575757576,0.378787879,0.348484848,0.515151515,0.636363636,0.606060606,0.621212121,0.621212121,0.696969697,0.46969697,0.393939394,0.318181818,0.545454545,0.712121212,0.560606061,0.53030303,0.5,0.424242424,0.333333333,0.757575758,0.348484848,0.545454545,0.303030303
2012-7-1,2011-12,0.606060606,0.590909091,0.333333333,0.106060606,0.757575758,0.318181818,0.545454545,0.575757576,0.378787879,0.348484848,0.515151515,0.636363636,0.606060606,0.621212121,0.621212121,0.696969697,0.46969697,0.393939394,0.318181818,0.545454545,0.712121212,0.560606061,0.53030303,0.5,0.424242424,0.333333333,0.757575758,0.348484848,0.545454545,0.303030303
2012-7-2,2011-12,0.606060606,0.590909091,0.333333333,0.106060606,0.757575758,0.318181818,0.545454545,0.575757576,0.378787879,0.348484848,0.515151515,0.636363636,0.606060606,0.621212121,0.621212121,0.696969697,0.46969697,0.393939394,0.318181818,0.545454545,0.712121212,0.560606061,0.53030303,0.5,0.424242424,0.333333333,0.757575758,0.348484848,0.545454545,0.303030303
2012-7-3,2011-12,0.606060606,0.590909091,0.333333333,0.106060606,0.757575758,0.318181818,0.545454545,0.575757576,0.378787879,0.348484848,0.515151515,0.636363636,0.606060606,0.621212121,0.621212121,0.696969697,0.46969697,0.393939394,0.318181818,0.545454545,0.712121212,0.560606061,0.53030303,0.5,0.424242424,0.333333333,0.757575758,0.348484848,0.545454545,0.303030303
2012-7-4,2011-12,0.606060606,0.590909091,0.333333333,0.106060606,0.757575758,0.318181818,0.545454545,0.575757576,0.378787879,0.348484848,0.515151515,0.636363636,0.606060606,0.621212121,0.621212121,0.696969697,0.46969697,0.393939394,0.318181818,0.545454545,0.712121212,0.560606061,0.53030303,0.5,0.424242424,0.333333333,0.757575758,0.348484848,0.545454545,0.303030303
2012-7-5,2011-12,0.606060606,0.590909091,0.333333333,0.106060606,0.757575758,0.318181818,0.545454545,0.575757576,0.378787879,0.348484848,0.515151515,0.636363636,0.606060606,0.621212121,0.621212121,0.696969697,0.46969697,0.393939394,0.318181818,0.545454545,0.712121212,0.560606061,0.53030303,0.5,0.424242424,0.333333333,0.757575758,0.348484848,0.545454545,0.303030303
2012-7-6,2011-12,0.606060606,0.590909091,0.333333333,0.106060606,0.757575758,0.318181818,0.545454545,0.575757576,0.378787879,0.348484848,0.515151515,0.636363636,0.606060606,0.621212121,0.621212121,0.696969697,0.46969697,0.393939394,0.318181818,0.545454545,0.712121212,0.560606061,0.53030303,0.5,0.424242424,0.333333333,0.757575758,0.348484848,0.545454545,0.303030303
2012-7-7,2011-12,0.606060606,0.590909091,0.333333333,0.106060606,0.757575758,0.318181818,0.545454545,0.575757576,0.378787879,0.348484848,0.515151515,0.636363636,0.606060606,0.621212121,0.621212121,0.696969697,0.46969697,0.393939394,0.318181818,0.545454545,0.712121212,0.560606061,0.53030303,0.5,0.424242424,0.333333333,0.757575758,0.348484848,0.545454545,0.303030303
2012-7-8,2011-12,0.606060606,0.590909091,0.333333333,0.106060606,0.757575758,0.318181818,0.545454545,0.575757576,0.378787879,0.348484848,0.515151515,0.636363636,0.606060606,0.621212121,0.621212121,0.696969697,0.46969697,0.393939394,0.318181818,0.545454545,0.712121212,0.560606061,0.53030303,0.5,0.424242424,0.333333333,0.757575758,0.348484848,0.545454545,0.303030303
2012-7-9,2011-12,0.606060606,0.590909091,0.333333333,0.106060606,0.757575758,0.318181818,0.545454545,0.575757576,0.378787879,0.348484848,0.515151515,0.636363636,0.606060606,0.621212121,0.621212121,0.696969697,0.46969697,0.393939394,0.318181818,0.545454545,0.712121212,0.560606061,0.53030303,0.5,0.424242424,0.333333333,0.757575758,0.348484848,0.545454545,0.303030303
2012-7-10,2011-12,0.606060606,0.590909091,0.333333333,0.106060606,0.757575758,0.318181818,0.545454545,0.575757576,0.378787879,0.348484848,0.515151515,0.636363636,0.606060606,0.621212121,0.621212121,0.696969697,0.46969697,0.393939394,0.318181818,0.545454545,0.712121212,0.560606061,0.53030303,0.5,0.424242424,0.333333333,0.757575758,0.348484848,0.545454545,0.303030303
2012-7-11,2011-12,0.606060606,0.590909091,0.333333333,0.106060606,0.757575758,0.318181818,0.545454545,0.575757576,0.378787879,0.348484848,0.515151515,0.636363636,0.606060606,0.621212121,0.621212121,0.696969697,0.46969697,0.393939394,0.318181818,0.545454545,0.712121212,0.560606061,0.53030303,0.5,0.424242424,0.333333333,0.757575758,0.348484848,0.545454545,0.303030303
2012-7-12,2011-12,0.606060606,0.590909091,0.333333333,0.106060606,0.757575758,0.318181818,0.545454545,0.575757576,0.378787879,0.348484848,0.515151515,0.636363636,0.606060606,0.621212121,0.621212121,0.696969697,0.46969697,0.393939394,0.318181818,0.545454545,0.712121212,0.560606061,0.53030303,0.5,0.424242424,0.333333333,0.757575758,0.348484848,0.545454545,0.303030303
2012-7-13,2011-12,0.606060606,0.590909091,0.333333333,0.106060606,0.757575758,0.318181818,0.545454545,0.575757576,0.378787879,0.348484848,0.515151515,0.636363636,0.606060606,0.621212121,0.621212121,0.696969697,0.46969697,0.393939394,0.318181818,0.545454545,0.712121212,0.560606061,0.53030303,0.5,0.424242424,0.333333333,0.757575758,0.348484848,0.545454545,0.303030303
2012-7-14,2011-12,0.606060606,0.590909091,0.333333333,0.106060606,0.757575758,0.318181818,0.545454545,0.575757576,0.378787879,0.348484848,0.515151515,0.636363636,0.606060606,0.621212121,0.621212121,0.696969697,0.46969697,0.393939394,0.318181818,0.545454545,0.712121212,0.560606061,0.53030303,0.5,0.424242424,0.333333333,0.757575758,0.348484848,0.545454545,0.303030303
2012-7-15,2011-12,0.606060606,0.590909091,0.333333333,0.106060606,0.757575758,0.318181818,0.545454545,0.575757576,0.378787879,0.348484848,0.515151515,0.636363636,0.606060606,0.621212121,0.621212121,0.696969697,0.46969697,0.393939394,0.318181818,0.545454545,0.712121212,0.560606061,0.53030303,0.5,0.424242424,0.333333333,0.757575758,0.348484848,0.545454545,0.303030303
2012-7-16,2011-12,0.606060606,0.590909091,0.333333333,0.106060606,0.757575758,0.318181818,0.545454545,0.575757576,0.378787879,0.348484848,0.515151515,0.636363636,0.606060606,0.621212121,0.621212121,0.696969697,0.46969697,0.393939394,0.318181818,0.545454545,0.712121212,0.560606061,0.53030303,0.5,0.424242424,0.333333333,0.757575758,0.348484848,0.545454545,0.303030303
2012-7-17,2011-12,0.606060606,0.590909091,0.333333333,0.106060606,0.757575758,0.318181818,0.545454545,0.575757576,0.378787879,0.348484848,0.515151515,0.636363636,0.606060606,0.621212121,0.621212121,0.696969697,0.46969697,0.393939394,0.318181818,0.545454545,0.712121212,0.560606061,0.53030303,0.5,0.424242424,0.333333333,0.757575758,0.348484848,0.545454545,0.303030303
2012-7-18,2011-12,0.606060606,0.590909091,0.333333333,0.106060606,0.757575758,0.318181818,0.545454545,0.575757576,0.378787879,0.348484848,0.515151515,0.636363636,0.606060606,0.621212121,0.621212121,0.696969697,0.46969697,0.393939394,0.318181818,0.545454545,0.712121212,0.560606061,0.53030303,0.5,0.424242424,0.333333333,0.757575758,0.348484848,0.545454545,0.303030303
2012-7-19,2011-12,0.606060606,0.590909091,0.333333333,0.106060606,0.757575758,0.318181818,0.545454545,0.575757576,0.378787879,0.348484848,0.515151515,0.636363636,0.606060606,0.621212121,0.621212121,0.696969697,0.46969697,0.393939394,0.318181818,0.545454545,0.712121212,0.560606061,0.53030303,0.5,0.424242424,0.333333333,0.757575758,0.348484848,0.545454545,0.303030303
2012-7-20,2011-12,0.606060606,0.590909091,0.333333333,0.106060606,0.757575758,0.318181818,0.545454545,0.575757576,0.378787879,0.348484848,0.515151515,0.636363636,0.606060606,0.621212121,0.621212121,0.696969697,0.46969697,0.393939394,0.318181818,0.545454545,0.712121212,0.560606061,0.53030303,0.5,0.424242424,0.333333333,0.757575758,0.348484848,0.545454545,0.303030303
2012-7-21,2011-12,0.606060606,0.590909091,0.333333333,0.106060606,0.757575758,0.318181818,0.545454545,0.575757576,0.378787879,0.348484848,0.515151515,0.636363636,0.606060606,0.621212121,0.621212121,0.696969697,0.46969697,0.393939394,0.318181818,0.545454545,0.712121212,0.560606061,0.53030303,0.5,0.424242424,0.333333333,0.757575758,0.348484848,0.545454545,0.303030303
2012-7-22,2011-12,0.606060606,0.590909091,0.333333333,0.106060606,0.757575758,0.318181818,0.545454545,0.575757576,0.378787879,0.348484848,0.515151515,0.636363636,0.606060606,0.621212121,0.621212121,0.696969697,0.46969697,0.393939394,0.318181818,0.545454545,0.712121212,0.560606061,0.53030303,0.5,0.424242424,0.333333333,0.757575758,0.348484848,0.545454545,0.303030303
2012-7-23,2011-12,0.606060606,0.590909091,0.333333333,0.106060606,0.757575758,0.318181818,0.545454545,0.575757576,0.378787879,0.348484848,0.515151515,0.636363636,0.606060606,0.621212121,0.621212121,0.696969697,0.46969697,0.393939394,0.318181818,0.545454545,0.712121212,0.560606061,0.53030303,0.5,0.424242424,0.333333333,0.757575758,0.348484848,0.545454545,0.303030303
2012-7-24,2011-12,0.606060606,0.590909091,0.333333333,0.106060606,0.757575758,0.318181818,0.545454545,0.575757576,0.378787879,0.348484848,0.515151515,0.636363636,0.606060606,0.621212121,0.621212121,0.696969697,0.46969697,0.393939394,0.318181818,0.545454545,0.712121212,0.560606061,0.53030303,0.5,0.424242424,0.333333333,0.757575758,0.348484848,0.545454545,0.303030303
2012-7-25,2011-12,0.606060606,0.590909091,0.333333333,0.106060606,0.757575758,0.318181818,0.545454545,0.575757576,0.378787879,0.348484848,0.515151515,0.636363636,0.606060606,0.621212121,0.621212121,0.696969697,0.46969697,0.393939394,0.318181818,0.545454545,0.712121212,0.560606061,0.53030303,0.5,0.424242424,0.333333333,0.757575758,0.348484848,0.545454545,0.303030303
2012-7-26,2011-12,0.606060606,0.590909091,0.333333333,0.106060606,0.757575758,0.318181818,0.545454545,0.575757576,0.378787879,0.348484848,0.515151515,0.636363636,0.606060606,0.621212121,0.621212121,0.696969697,0.46969697,0.393939394,0.318181818,0.545454545,0.712121212,0.560606061,0.53030303,0.5,0.424242424,0.333333333,0.757575758,0.348484848,0.545454545,0.303030303
2012-7-27,2011-12,0.606060606,0.590909091,0.333333333,0.106060606,0.757575758,0.318181818,0.545454545,0.575757576,0.378787879,0.348484848,0.515151515,0.636363636,0.606060606,0.621212121,0.621212121,0.696969697,0.46969697,0.393939394,0.318181818,0.545454545,0.712121212,0.560606061,0.53030303,0.5,0.424242424,0.333333333,0.757575758,0.348484848,0.545454545,0.303030303
2012-7-28,2011-12,0.606060606,0.590909091,0.333333333,0.106060606,0.757575758,0.318181818,0.545454545,0.575757576,0.378787879,0.348484848,0.515151515,0.636363636,0.606060606,0.621212121,0.621212121,0.696969697,0.46969697,0.393939394,0.318181818,0.545454545,0.712121212,0.560606061,0.53030303,0.5,0.424242424,0.333333333,0.757575758,0.348484848,0.545454545,0.303030303
2012-7-29,2011-12,0.606060606,0.590909091,0.333333333,0.106060606,0.757575758,0.318181818,0.545454545,0.575757576,0.378787879,0.348484848,0.515151515,0.636363636,0.606060606,0.621212121,0.621212121,0.696969697,0.46969697,0.393939394,0.318181818,0.545454545,0.712121212,0.560606061,0.53030303,0.5,0.424242424,0.333333333,0.757575758,0.348484848,0.545454545,0.303030303
2012-7-30,2011-12,0.606060606,0.590909091,0.333333333,0.106060606,0.757575758,0.318181818,0.545454545,0.575757576,0.378787879,0.348484848,0.515151515,0.636363636,0.606060606,0.621212121,0.621212121,0.696969697,0.46969697,0.393939394,0.318181818,0.545454545,0.712121212,0.560606061,0.53030303,0.5,0.424242424,0.333333333,0.757575758,0.348484848,0.545454545,0.303030303
2012-7-31,2011-12,0.606060606,0.590909091,0.333333333,0.106060606,0.757575758,0.318181818,0.545454545,0.575757576,0.378787879,0.348484848,0.515151515,0.636363636,0.606060606,0.621212121,0.621212121,0.696969697,0.46969697,0.393939394,0.318181818,0.545454545,0.712121212,0.560606061,0.53030303,0.5,0.424242424,0.333333333,0.757575758,0.348484848,0.545454545,0.303030303
2012-8-1,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-8-2,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-8-3,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-8-4,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-8-5,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-8-6,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-8-7,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-8-8,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-8-9,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-8-10,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-8-11,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-8-12,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-8-13,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-8-14,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-8-15,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-8-16,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-8-17,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-8-18,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-8-19,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-8-20,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-8-21,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-8-22,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-8-23,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-8-24,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-8-25,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-8-26,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-8-27,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-8-28,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-8-29,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-8-30,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-8-31,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-9-1,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-9-2,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-9-3,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-9-4,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-9-5,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-9-6,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-9-7,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-9-8,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-9-9,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-9-10,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-9-11,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-9-12,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-9-13,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-9-14,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-9-15,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-9-16,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-9-17,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-9-18,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-9-19,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-9-20,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-9-21,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-9-22,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-9-23,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-9-24,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-9-25,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-9-26,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-9-27,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-9-28,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-9-29,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-9-30,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-10-1,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-10-2,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-10-3,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-10-4,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-10-5,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-10-6,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-10-7,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-10-8,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-10-9,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-10-10,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-10-11,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-10-12,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-10-13,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-10-14,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-10-15,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-10-16,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-10-17,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-10-18,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-10-19,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-10-20,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-10-21,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-10-22,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-10-23,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-10-24,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-10-25,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-10-26,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-10-27,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-10-28,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-10-29,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-10-30,2012-13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012-10-31,2012-13,-,0,-,-,-,1,1,-,-,-,-,-,-,0,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,0
2012-11-1,2012-13,-,0,-,-,1,1,0.5,0,0,1,1,1,1,0,0,1,-,-,0,-,-,-,1,0,1,0,1,0,1,0
2012-11-2,2012-13,-,0,-,-,1,1,0.5,0,0,1,1,1,1,0,0,1,-,-,0,-,0,-,1,0,1,0,1,0,1,0
2012-11-3,2012-13,0,0,-,1,1,0.5,0.5,0,0,0.5,1,0.5,1,0,0.5,0.5,1,1,0.5,1,0.5,1,1,0.5,0.5,0,1,0,0.5,0
2012-11-4,2012-13,0,0.333333333,1,0.5,0.666666667,0.333333333,0.666666667,0,0,0.666666667,0.666666667,0.666666667,0.666666667,0,0.5,0.666666667,1,1,0.666666667,1,0.5,1,1,0.5,0.666666667,0,1,0,0.333333333,0
2012-11-5,2012-13,0.5,0.333333333,1,0.5,0.666666667,0.333333333,0.666666667,0,0,0.666666667,0.666666667,0.666666667,0.666666667,0.25,0.5,0.666666667,1,0.5,0.666666667,1,0.333333333,1,0.5,0.333333333,0.666666667,0,1,0.333333333,0.333333333,0
2012-11-6,2012-13,0.5,0.333333333,0.5,0.5,0.666666667,0.5,0.75,0,0,0.5,0.666666667,0.5,0.5,0.25,0.666666667,0.75,1,0.666666667,0.666666667,1,0.333333333,1,0.333333333,0.25,0.5,0.25,1,0.333333333,0.25,0
2012-11-7,2012-13,0.5,0.333333333,0.5,0.5,0.75,0.5,0.75,0.25,0,0.5,0.666666667,0.5,0.5,0.25,0.666666667,0.75,1,0.666666667,0.666666667,1,0.5,0.666666667,0.333333333,0.25,0.5,0.25,1,0.25,0.25,0
2012-11-8,2012-13,0.666666667,0.5,0.333333333,0.333333333,0.75,0.4,0.8,0.4,0,0.6,0.5,0.4,0.6,0.2,0.75,0.8,0.666666667,0.75,0.5,1,0.5,0.5,0.5,0.4,0.5,0.4,0.8,0.2,0.4,0
2012-11-9,2012-13,0.666666667,0.5,0.333333333,0.333333333,0.6,0.4,0.8,0.4,0,0.6,0.5,0.4,0.666666667,0.2,0.75,0.8,0.666666667,0.75,0.5,1,0.6,0.5,0.5,0.4,0.4,0.4,0.8,0.2,0.4,0
